street,city,zip,state,beds,baths,sq_m,type,sale_date,price,latitude,longitude
3361 BOW MAR CT,Cameron Park,95682,CA,2,2,0.0,Residential,2008-05-20,210000,38.69437,-120.996602
1889 COLD SPRINGS RD,Placerville,95667,CA,2,1,88.07,Residential,2008-05-20,211500,38.739774,-120.860243
5805 HIMALAYA WAY,Citrus Heights,95621,CA,4,2,146.6,Residential,2008-05-20,215000,38.696489,-121.32855500000001
7944 SYLVAN OAK WAY,Citrus Heights,95610,CA,3,2,122.35,Residential,2008-05-20,215000,38.710388,-121.261096
3139 SPOONWOOD WAY Unit 1,Sacramento,95833,CA,0,0,0.0,Residential,2008-05-20,215500,38.626582,-121.52151
6217 LEOLA WAY,Sacramento,95824,CA,3,1,126.35,Residential,2008-05-20,222381,38.513065999999995,-121.45190900000001
2340 HURLEY WAY,Sacramento,95825,CA,0,0,0.0,Condo,2008-05-20,225000,38.588815999999994,-121.408549
3035 BRUNNET LN,Sacramento,95833,CA,3,2,141.4,Residential,2008-05-20,225000,38.624762,-121.522775
3025 EL PRADO WAY,Sacramento,95825,CA,4,2,162.67,Residential,2008-05-20,225000,38.606603,-121.394147
9387 GRANITE FALLS CT,Elk Grove,95624,CA,3,2,136.1,Residential,2008-05-20,225000,38.419214000000004,-121.348533
9257 CALDERA WAY,Sacramento,95826,CA,4,2,149.11,Residential,2008-05-20,228000,38.558209999999995,-121.35502199999999
441 ARLINGDALE CIR,Rio Linda,95673,CA,4,2,137.03,Residential,2008-05-20,229665,38.702892999999996,-121.454949
2284 LOS ROBLES RD,Meadow Vista,95722,CA,3,1,112.97,Residential,2008-05-20,230000,39.008159,-121.03623
8164 CHENIN BLANC LN,Fair Oaks,95628,CA,2,2,122.17,Residential,2008-05-20,230000,38.665644,-121.259969
4620 CHAMBERLIN CIR,Elk Grove,95757,CA,3,2,145.58,Residential,2008-05-20,230000,38.390557,-121.449805
5340 BIRK WAY,Sacramento,95835,CA,3,2,164.99,Residential,2008-05-20,234000,38.672495,-121.515251
51 ANJOU CIR,Sacramento,95835,CA,3,2,203.18,Residential,2008-05-20,235000,38.661658,-121.54063300000001
2125 22ND AVE,Sacramento,95822,CA,3,1,119.94,Residential,2008-05-20,236250,38.534596,-121.493121
611 BLOSSOM ROCK LN,Folsom,95630,CA,0,0,0.0,Condo,2008-05-20,240000,38.6457,-121.1197
8830 ADUR RD,Elk Grove,95624,CA,0,0,0.0,Residential,2008-05-20,242000,38.43742,-121.372876
7344 BUTTERBALL WAY,Sacramento,95842,CA,3,2,139.63,Residential,2008-05-20,245000,38.699489,-121.361828
8219 GWINHURST CIR,Sacramento,95828,CA,4,3,231.42,Residential,2008-05-20,245000,38.459711,-121.38428300000001
3240 S ST,Sacramento,95816,CA,2,1,117.89,Residential,2008-05-20,245000,38.562296,-121.46748899999999
221 PICASSO CIR,Sacramento,95835,CA,0,0,0.0,Residential,2008-05-20,250000,38.676658,-121.52812800000001
5706 GREENACRES WAY,Orangevale,95662,CA,3,2,109.25,Residential,2008-05-20,250000,38.669882,-121.21353300000001
6900 LONICERA DR,Orangevale,95662,CA,4,2,135.27,Residential,2008-05-20,250000,38.692199,-121.250975
419 DAWNRIDGE RD,Roseville,95678,CA,3,2,139.17,Residential,2008-05-20,250000,38.725283000000005,-121.297953
5312 MARBURY WAY,Antelope,95843,CA,3,2,146.23,Residential,2008-05-20,255000,38.710221000000004,-121.341651
6344 BONHAM CIR,Citrus Heights,95610,CA,5,4,193.7,Multi-Family,2008-05-20,256054,38.682358,-121.272876
8207 YORKTON WAY,Sacramento,95829,CA,3,2,201.6,Residential,2008-05-20,257729,38.45967,-121.36046100000002
7922 MANSELL WAY,Elk Grove,95758,CA,4,2,148.18,Residential,2008-05-20,260000,38.409634000000004,-121.41078700000001
5712 MELBURY CIR,Antelope,95843,CA,3,2,145.58,Residential,2008-05-20,261000,38.705849,-121.334701
632 NEWBRIDGE LN,Lincoln,95648,CA,4,2,0.0,Residential,2008-05-20,261800,38.879084000000006,-121.29858600000001
1570 GLIDDEN AVE,Sacramento,95822,CA,4,2,116.41,Residential,2008-05-20,264469,38.482704,-121.500433
8108 FILIFERA WAY,Antelope,95843,CA,4,3,164.25,Residential,2008-05-20,265000,38.717042,-121.35468
230 BANKSIDE WAY,Sacramento,95835,CA,0,0,0.0,Residential,2008-05-20,270000,38.676937,-121.52924399999999
5342 CALABRIA WAY,Sacramento,95835,CA,4,3,188.59,Residential,2008-05-20,270000,38.671807,-121.498274
47 NAPONEE CT,Sacramento,95835,CA,3,2,142.23,Residential,2008-05-20,270000,38.665704,-121.529096
4236 ADRIATIC SEA WAY,Sacramento,95834,CA,0,0,0.0,Residential,2008-05-20,270000,38.647960999999995,-121.54316200000001
8864 REMBRANT CT,Elk Grove,95624,CA,4,3,153.57,Residential,2008-05-20,275000,38.435288,-121.375703
9455 SEA CLIFF WAY,Elk Grove,95758,CA,4,2,191.01,Residential,2008-05-20,275000,38.411522,-121.481406
9720 LITTLE HARBOR WAY,Elk Grove,95624,CA,4,3,231.7,Residential,2008-05-20,280000,38.404934000000004,-121.352405
8806 PHOENIX AVE,Fair Oaks,95628,CA,3,2,134.71,Residential,2008-05-20,286013,38.660322,-121.230101
3578 LOGGERHEAD WAY,Sacramento,95834,CA,4,2,201.51,Residential,2008-05-20,292000,38.633028,-121.52675500000001
1416 LOCKHART WAY,Roseville,95747,CA,3,2,133.78,Residential,2008-05-20,292000,38.752399,-121.33032800000001
5413 BUENA VENTURA WAY,Fair Oaks,95628,CA,3,2,141.86,Residential,2008-05-20,293993,38.664552,-121.25593700000002
37 WHITE BIRCH CT,Roseville,95678,CA,3,2,130.16,Residential,2008-05-20,294000,38.776327,-121.28451399999999
405 MARLIN SPIKE WAY,Sacramento,95838,CA,3,2,131.09,Residential,2008-05-20,296769,38.65783,-121.456842
1102 CHESLEY LN,Lincoln,95648,CA,4,4,0.0,Residential,2008-05-20,297500,38.864864000000004,-121.313988
11281 STANFORD COURT LN Unit 604,Gold River,95670,CA,0,0,0.0,Condo,2008-05-20,300000,38.625289,-121.26028600000001
7320 6TH ST,Rio Linda,95673,CA,3,1,119.29,Residential,2008-05-20,300000,38.700553,-121.452223
993 MANTON CT,Galt,95632,CA,4,3,214.33,Residential,2008-05-20,300000,38.272942,-121.289148
4487 PANORAMA DR,Placerville,95667,CA,3,2,123.47,Residential,2008-05-20,300000,38.694559000000005,-120.848157
5651 OVERLEAF WAY,Sacramento,95835,CA,4,2,177.44,Residential,2008-05-20,300500,38.677454,-121.49479099999999
2015 PROMONTORY POINT LN,Gold River,95670,CA,3,2,184.04,Residential,2008-05-20,305000,38.628732,-121.261149
3224 PARKHAM DR,Roseville,95747,CA,0,0,0.0,Residential,2008-05-20,306500,38.772771,-121.364877
15 VANESSA PL,Sacramento,95835,CA,0,0,0.0,Residential,2008-05-20,312500,38.668692,-121.54548999999999
1312 RENISON LN,Lincoln,95648,CA,5,3,0.0,Residential,2008-05-20,315000,38.866409000000004,-121.308485
8 RIVER RAFT CT,Sacramento,95823,CA,4,2,204.85,Residential,2008-05-20,319789,38.447353,-121.434969
2251 LAMPLIGHT LN,Lincoln,95648,CA,2,2,134.62,Residential,2008-05-20,330000,38.849924,-121.275729
106 FARHAM DR,Folsom,95630,CA,3,2,116.87,Residential,2008-05-20,330000,38.667834,-121.168578
5405 NECTAR CIR,Elk Grove,95757,CA,3,2,239.22,Residential,2008-05-20,331000,38.387014,-121.44096699999999
5411 10TH AVE,Sacramento,95820,CA,2,1,50.07,Residential,2008-05-20,334000,38.542727,-121.442449
3512 RAINSONG CIR,Rancho Cordova,95670,CA,4,3,205.13,Residential,2008-05-20,336000,38.573488,-121.28280900000001
1106 55TH ST,Sacramento,95819,CA,3,1,102.94,Residential,2008-05-20,339000,38.563805,-121.43639499999999
411 ILLSLEY WAY,Folsom,95630,CA,4,2,148.18,Residential,2008-05-20,339000,38.652002,-121.129504
796 BUTTERCUP CIR,Galt,95632,CA,4,2,200.58,Residential,2008-05-20,345000,38.279581,-121.30082800000001
1230 SANDRA CIR,Placerville,95667,CA,4,3,213.21,Residential,2008-05-20,350000,38.738141,-120.784145
318 ANACAPA DR,Roseville,95678,CA,3,2,170.75,Residential,2008-05-20,356000,38.782094,-121.297133
3975 SHINING STAR DR,Sacramento,95823,CA,4,2,176.51,Residential,2008-05-20,361745,38.487409,-121.461413
1620 BASLER ST,Sacramento,95811,CA,4,2,159.61,Residential,2008-05-20,361948,38.591822,-121.47864399999999
9688 NATURE TRAIL WAY,Elk Grove,95757,CA,5,3,314.85,Residential,2008-05-20,370000,38.405224,-121.479275
5924 TANUS CIR,Rocklin,95677,CA,4,2,0.0,Residential,2008-05-20,380000,38.778690999999995,-121.204292
9629 CEDAR OAK WAY,Elk Grove,95757,CA,5,4,302.86,Residential,2008-05-20,385000,38.405527,-121.43174599999999
3429 FERNBROOK CT,Cameron Park,95682,CA,3,2,187.29,Residential,2008-05-20,399000,38.664225,-121.007173
2121 HANNAH WAY,Rocklin,95765,CA,4,2,242.2,Residential,2008-05-20,402000,38.805749,-121.28093100000001
10104 ANNIE ST,Elk Grove,95757,CA,4,3,253.07,Residential,2008-05-20,406026,38.390465,-121.44347900000001
1092 MAUGHAM CT,Galt,95632,CA,5,4,348.01,Residential,2008-05-20,420000,38.271646000000004,-121.28684799999999
5404 ALMOND FALLS WAY,Rancho Cordova,95742,CA,0,0,0.0,Residential,2008-05-20,425000,38.527502,-121.233492
6306 CONEJO,Rancho Murieta,95683,CA,4,2,296.54,Residential,2008-05-20,425000,38.512602,-121.08723300000001
14 CASA VATONI PL,Sacramento,95834,CA,0,0,0.0,Residential,2008-05-20,433500,38.650221,-121.551704
1456 EAGLESFIELD LN,Lincoln,95648,CA,4,3,0.0,Residential,2008-05-20,436746,38.857634999999995,-121.311375
4100 BOTHWELL CIR,El Dorado Hills,95762,CA,5,3,0.0,Residential,2008-05-20,438700,38.679136,-121.034329
427 21ST ST,Sacramento,95811,CA,2,1,115.85,Residential,2008-05-20,445000,38.582603999999996,-121.47576000000001
1044 GALSTON DR,Folsom,95630,CA,4,2,239.78,Residential,2008-05-20,450000,38.676306,-121.09953999999999
4440 SYCAMORE AVE,Sacramento,95841,CA,3,1,192.12,Residential,2008-05-20,460000,38.646374,-121.35365800000001
1032 SOUZA DR,El Dorado Hills,95762,CA,3,2,0.0,Residential,2008-05-20,460000,38.668239,-121.06443700000001
9760 LAZULITE CT,Elk Grove,95624,CA,4,3,370.87,Residential,2008-05-20,460000,38.403609,-121.33554099999999
241 LANFRANCO CIR,Sacramento,95835,CA,4,4,315.59,Residential,2008-05-20,465000,38.665696000000004,-121.54943700000001
5559 NORTHBOROUGH DR,Sacramento,95835,CA,5,3,360.55,Residential,2008-05-20,471750,38.677225,-121.519687
2125 BIG SKY DR,Rocklin,95765,CA,5,3,0.0,Residential,2008-05-20,480000,38.801637,-121.278798
2109 HAMLET PL,Carmichael,95608,CA,2,2,148.46,Residential,2008-05-20,484000,38.602754,-121.329326
9970 STATE HIGHWAY 193,Placerville,95667,CA,4,3,179.21,Residential,2008-05-20,485000,38.787877,-120.816676
2901 PINTAIL WAY,Elk Grove,95757,CA,4,3,285.21,Residential,2008-05-20,495000,38.398488,-121.473424
201 FIRESTONE DR,Roseville,95678,CA,0,0,0.0,Residential,2008-05-20,500500,38.770153,-121.30003899999998
1740 HIGH ST,Auburn,95603,CA,3,3,0.0,Residential,2008-05-20,504000,38.891935,-121.08434
2733 DANA LOOP,El Dorado Hills,95762,CA,0,0,0.0,Residential,2008-05-20,541000,38.628459,-121.05507800000001
9741 SADDLEBRED CT,Wilton,95693,CA,0,0,0.0,Residential,2008-05-20,560000,38.408840999999995,-121.198039
7756 TIGERWOODS DR,Sacramento,95829,CA,5,3,370.12,Residential,2008-05-20,572500,38.47643,-121.309243
5709 RIVER OAK WAY,Carmichael,95608,CA,4,2,206.43,Residential,2008-05-20,582000,38.602461,-121.330979
2981 WRINGER DR,Roseville,95661,CA,4,3,356.56,Residential,2008-05-20,613401,38.735372999999996,-121.22707199999999
8616 ROCKPORTE CT,Roseville,95747,CA,4,2,0.0,Residential,2008-05-20,614000,38.742118,-121.359909
4128 HILL ST,Fair Oaks,95628,CA,5,5,264.4,Residential,2008-05-20,680000,38.64167,-121.26209899999999
1409 47TH ST,Sacramento,95819,CA,5,2,230.77,Residential,2008-05-20,699000,38.563244,-121.446876
3935 EL MONTE DR,Loomis,95650,CA,4,4,150.87,Residential,2008-05-20,839000,38.813337,-121.133348
5840 WALERGA RD,Sacramento,95842,CA,2,1,78.04,Condo,2008-05-19,40000,38.673678,-121.35747099999999
923 FULTON AVE,Sacramento,95825,CA,1,1,44.96,Condo,2008-05-19,48000,38.582279,-121.401482
261 REDONDO AVE,Sacramento,95815,CA,3,1,90.12,Residential,2008-05-19,61500,38.620684999999995,-121.46053899999998
4030 BROADWAY,Sacramento,95817,CA,2,1,57.88,Residential,2008-05-19,62050,38.546797999999995,-121.46003799999998
3660 22ND AVE,Sacramento,95820,CA,2,1,86.58,Residential,2008-05-19,65000,38.532718,-121.46746999999999
3924 HIGH ST,Sacramento,95838,CA,2,1,73.95,Residential,2008-05-19,65000,38.638797,-121.43504899999999
4734 14TH AVE,Sacramento,95820,CA,2,1,77.48,Residential,2008-05-19,68000,38.539446999999996,-121.45085800000001
4734 14TH AVE,Sacramento,95820,CA,2,1,77.48,Residential,2008-05-19,68000,38.539446999999996,-121.45085800000001
5050 RHODE ISLAND DR Unit 4,Sacramento,95841,CA,2,1,85.84,Condo,2008-05-19,77000,38.658739000000004,-121.33356100000002
4513 GREENHOLME DR,Sacramento,95842,CA,2,1,73.86,Condo,2008-05-19,82732,38.669104,-121.359008
3845 ELM ST,Sacramento,95838,CA,3,1,116.13,Residential,2008-05-19,84000,38.637337,-121.43283500000001
3908 17TH AVE,Sacramento,95820,CA,2,1,91.42,Residential,2008-05-19,84675,38.537279999999996,-121.463531
7109 CHANDLER DR,Sacramento,95828,CA,3,1,94.11,Residential,2008-05-19,85000,38.497237,-121.42418700000002
7541 SKELTON WAY,Sacramento,95822,CA,3,1,94.02,Residential,2008-05-19,90000,38.484274,-121.488851
9058 MONTOYA ST,Sacramento,95826,CA,2,1,73.86,Condo,2008-05-19,90000,38.559144,-121.36838700000001
1016 CONGRESS AVE,Sacramento,95838,CA,2,2,85.28,Residential,2008-05-19,91000,38.630151,-121.44278899999999
540 MORRISON AVE,Sacramento,95838,CA,3,1,100.52,Residential,2008-05-19,95000,38.637704,-121.453946
5303 JERRETT WAY,Sacramento,95842,CA,2,1,89.56,Residential,2008-05-19,97500,38.663282,-121.35963100000001
2820 DEL PASO BLVD,Sacramento,95815,CA,4,2,130.43,Multi-Family,2008-05-19,100000,38.617717999999996,-121.44008899999999
3715 TALLYHO DR Unit 78HIGH,Sacramento,95826,CA,1,1,58.06,Condo,2008-05-19,100000,38.544627,-121.35796
6013 ROWAN WAY,Citrus Heights,95621,CA,2,1,82.5,Residential,2008-05-19,101000,38.675893,-121.2963
2987 PONDEROSA LN,Sacramento,95815,CA,4,2,104.05,Residential,2008-05-19,102750,38.622243,-121.45786299999999
3732 LANKERSHIM WAY,North Highlands,95660,CA,3,1,123.65,Residential,2008-05-19,112500,38.68972,-121.378399
2216 DUNLAP DR,Sacramento,95821,CA,3,1,94.2,Residential,2008-05-19,113000,38.623738,-121.41305
3503 21ST AVE,Sacramento,95820,CA,4,2,134.52,Residential,2008-05-19,114000,38.533609999999996,-121.46930800000001
523 EXCHANGE ST,Sacramento,95838,CA,3,1,89.74,Residential,2008-05-19,114000,38.659414,-121.45408
8101 PORT ROYALE WAY,Sacramento,95823,CA,2,1,72.37,Residential,2008-05-19,114750,38.463929,-121.438667
8020 WALERGA RD,Antelope,95843,CA,2,2,77.67,Condo,2008-05-19,115000,38.71607,-121.36446799999999
167 VALLEY OAK DR,Roseville,95678,CA,2,2,102.19,Condo,2008-05-19,115000,38.732428999999996,-121.288069
7876 BURLINGTON WAY,Sacramento,95832,CA,3,1,109.07,Residential,2008-05-19,116100,38.470093,-121.468347
3726 JONKO AVE,North Highlands,95660,CA,3,2,112.13,Residential,2008-05-19,119250,38.656131,-121.377265
7342 GIGI PL,Sacramento,95828,CA,4,4,185.34,Multi-Family,2008-05-19,120000,38.490704,-121.410176
2610 PHYLLIS AVE,Sacramento,95820,CA,2,1,74.69,Residential,2008-05-19,120000,38.53105,-121.479574
4200 COMMERCE WAY Unit 711,Sacramento,95834,CA,2,2,89.0,Condo,2008-05-19,120000,38.647523,-121.52321699999999
4621 COUNTRY SCENE WAY,Sacramento,95823,CA,3,2,126.9,Residential,2008-05-19,120108,38.470187,-121.448149
5380 VILLAGE WOOD DR,Sacramento,95823,CA,2,2,83.7,Residential,2008-05-19,121500,38.454949,-121.440578
2621 EVERGREEN ST,Sacramento,95815,CA,3,1,64.66,Residential,2008-05-19,121725,38.613103,-121.44408500000002
201 CARLO CT,Galt,95632,CA,3,2,100.33,Residential,2008-05-19,122000,38.24227,-121.31031999999999
6743 21ST ST,Sacramento,95822,CA,3,2,102.56,Residential,2008-05-19,123000,38.50372,-121.49065700000001
3128 VIA GRANDE,Sacramento,95825,CA,2,1,90.3,Residential,2008-05-19,125000,38.598321,-121.39161000000001
2847 BELGRADE WAY,Sacramento,95833,CA,4,2,129.13,Residential,2008-05-19,125573,38.617173,-121.482541
7741 MILLDALE CIR,Elverta,95626,CA,4,2,125.79,Residential,2008-05-19,126714,38.705834,-121.43919
9013 CASALS ST,Sacramento,95826,CA,2,1,73.86,Condo,2008-05-19,126960,38.557045,-121.37167
227 MAHAN CT Unit 1,Roseville,95678,CA,2,1,72.46,Condo,2008-05-19,127000,38.749722999999996,-121.27008000000001
7349 FLETCHER FARM DR,Sacramento,95828,CA,4,2,147.44,Residential,2008-05-19,127500,38.49069,-121.38261899999999
7226 LARCHMONT DR,North Highlands,95660,CA,3,2,112.32,Residential,2008-05-19,130000,38.699269,-121.37633400000001
4114 35TH AVE,Sacramento,95824,CA,2,1,105.82,Residential,2008-05-19,133105,38.520941,-121.459355
617 M ST,Rio Linda,95673,CA,2,2,157.0,Residential,2008-05-19,136500,38.691103999999996,-121.45183200000001
7032 FAIR OAKS BLVD,Carmichael,95608,CA,3,2,115.66,Condo,2008-05-19,139500,38.628563,-121.32829699999999
2421 SANTINA WAY,Elverta,95626,CA,3,2,131.55,Residential,2008-05-19,140000,38.71865,-121.40776299999999
2368 CRAIG AVE,Sacramento,95832,CA,3,2,120.77,Residential,2008-05-19,140800,38.47807,-121.48114
2123 AMANDA WAY,Sacramento,95822,CA,3,2,104.05,Residential,2008-05-19,145000,38.484896,-121.486948
7620 DARLA WAY,Sacramento,95828,CA,4,2,147.71,Residential,2008-05-19,147000,38.478502,-121.403517
8344 FIELDPOPPY CIR,Sacramento,95828,CA,3,2,130.71,Residential,2008-05-19,149600,38.479083,-121.400702
3624 20TH AVE,Sacramento,95820,CA,5,2,140.84,Residential,2008-05-19,150000,38.534508,-121.46790700000001
10001 WOODCREEK OAKS BLVD Unit 1415,Roseville,95747,CA,2,2,0.0,Condo,2008-05-19,150000,38.795528999999995,-121.328819
2848 PROVO WAY,Sacramento,95822,CA,3,2,152.92,Residential,2008-05-19,150000,38.489759,-121.474754
6045 EHRHARDT AVE,Sacramento,95823,CA,3,2,155.7,Residential,2008-05-19,155000,38.457157,-121.43306499999998
1223 LAMBERTON CIR,Sacramento,95838,CA,3,2,127.28,Residential,2008-05-19,155435,38.646677000000004,-121.437573
1223 LAMBERTON CIR,Sacramento,95838,CA,3,2,127.28,Residential,2008-05-19,155500,38.646677000000004,-121.437573
6000 BIRCHGLADE WAY,Citrus Heights,95621,CA,4,2,125.51,Residential,2008-05-19,158000,38.70166,-121.323249
7204 THOMAS DR,North Highlands,95660,CA,3,2,107.02,Residential,2008-05-19,158000,38.697897999999995,-121.37768700000001
8363 LANGTREE WAY,Sacramento,95823,CA,3,2,134.89,Residential,2008-05-19,160000,38.453559999999996,-121.43595900000001
1675 VERNON ST Unit 8,Roseville,95678,CA,2,1,91.97,Residential,2008-05-19,160000,38.734136,-121.29963899999998
6632 IBEX WOODS CT,Citrus Heights,95621,CA,2,2,107.95,Residential,2008-05-19,164000,38.720867999999996,-121.309855
117 EVCAR WAY,Rio Linda,95673,CA,3,2,109.81,Residential,2008-05-19,164000,38.687659000000004,-121.4633
6485 LAGUNA MIRAGE LN,Elk Grove,95758,CA,2,2,103.31,Residential,2008-05-19,165000,38.42465,-121.43013700000002
746 MOOSE CREEK WAY,Galt,95632,CA,3,2,102.19,Residential,2008-05-19,167000,38.283085,-121.302071
8306 CURLEW CT,Citrus Heights,95621,CA,4,2,118.91,Residential,2008-05-19,167293,38.715781,-121.298519
8306 CURLEW CT,Citrus Heights,95621,CA,4,2,118.91,Residential,2008-05-19,167293,38.715781,-121.298519
5217 ARGO WAY,Sacramento,95820,CA,3,1,96.53,Residential,2008-05-19,168000,38.52774,-121.433669
7108 HEATHER TREE DR,Sacramento,95842,CA,3,2,107.67,Residential,2008-05-19,170000,38.695677,-121.36022
2956 DAVENPORT WAY,Sacramento,95833,CA,4,2,178.09,Residential,2008-05-19,170000,38.620687,-121.482619
10062 LINCOLN VILLAGE DR,Sacramento,95827,CA,3,2,141.21,Residential,2008-05-19,170000,38.564,-121.32002299999999
332 PALIN AVE,Galt,95632,CA,3,2,111.85,Residential,2008-05-19,174000,38.260467,-121.302636
4649 FREEWAY CIR,Sacramento,95841,CA,3,2,104.05,Residential,2008-05-19,178000,38.658734,-121.357196
8593 DERLIN WAY,Sacramento,95823,CA,3,2,133.41,Residential,2008-05-19,180000,38.447585,-121.426627
9273 PREMIER WAY,Sacramento,95826,CA,3,2,134.8,Residential,2008-05-19,180000,38.55992,-121.352539
8032 DUSENBERG CT,Sacramento,95828,CA,4,2,152.17,Residential,2008-05-19,180000,38.466499,-121.381119
7110 STELLA LN Unit 15,Carmichael,95608,CA,2,2,92.9,Condo,2008-05-19,182000,38.637396,-121.300055
1786 PIEDMONT WAY,Roseville,95661,CA,3,1,107.02,Residential,2008-05-19,188325,38.72748,-121.25653700000001
1347 HIDALGO CIR,Roseville,95747,CA,3,2,107.21,Residential,2008-05-19,191500,38.747878,-121.311279
212 CAPPUCINO WAY,Sacramento,95838,CA,3,2,125.7,Residential,2008-05-19,192000,38.657810999999995,-121.465327
5938 WOODBRIAR WAY,Citrus Heights,95621,CA,3,2,123.47,Residential,2008-05-19,192700,38.706152,-121.325399
3801 WILDROSE WAY,Sacramento,95826,CA,3,1,125.98,Residential,2008-05-19,195000,38.544368,-121.369979
508 SAMUEL WAY,Sacramento,95838,CA,3,2,139.82,Residential,2008-05-19,197654,38.645689000000004,-121.452766
6128 CARL SANDBURG CIR,Sacramento,95842,CA,3,1,93.74,Residential,2008-05-19,198000,38.681540999999996,-121.355616
1 KENNELFORD CIR,Sacramento,95823,CA,3,2,106.28,Residential,2008-05-19,200345,38.46452,-121.42760600000001
909 SINGINGWOOD RD,Sacramento,95864,CA,2,1,86.4,Residential,2008-05-19,203000,38.581471,-121.38838999999999
6671 FOXWOOD CT,Sacramento,95841,CA,4,2,164.07,Residential,2008-05-19,207000,38.687943,-121.328883
8165 AYN RAND CT,Sacramento,95828,CA,4,3,180.23,Residential,2008-05-19,208000,38.468639,-121.40326499999999
9474 VILLAGE TREE DR,Elk Grove,95758,CA,4,2,164.99,Residential,2008-05-19,210000,38.413947,-121.408276
7213 CALVIN DR,Citrus Heights,95621,CA,3,1,116.87,Residential,2008-05-19,212000,38.698153999999995,-121.298375
8167 DERBY PARK CT,Sacramento,95828,CA,4,2,173.91,Residential,2008-05-19,213675,38.460491999999995,-121.373379
6344 LAGUNA MIRAGE LN,Elk Grove,95758,CA,2,2,103.31,Residential,2008-05-19,213697,38.423963,-121.428875
2945 RED HAWK WAY,Sacramento,95833,CA,4,2,172.43,Residential,2008-05-19,215000,38.619675,-121.496903
3228 I ST,Sacramento,95816,CA,4,3,180.14,Residential,2008-05-19,215000,38.573844,-121.46283899999999
308 ATKINSON ST,Roseville,95678,CA,3,1,92.72,Residential,2008-05-19,215100,38.746794,-121.29971
624 HOVEY WAY,Roseville,95678,CA,3,2,163.32,Residential,2008-05-19,217500,38.756149,-121.30647900000001
110 COPPER LEAF WAY,Sacramento,95838,CA,3,2,199.0,Residential,2008-05-19,218000,38.658466,-121.46066100000002
7535 ALMA VISTA WAY,Sacramento,95831,CA,2,1,88.26,Residential,2008-05-19,220000,38.48403,-121.50764099999999
7423 WILSALL CT,Elk Grove,95758,CA,4,3,161.56,Residential,2008-05-19,221000,38.417026,-121.416821
8629 VIA ALTA WAY,Elk Grove,95624,CA,3,2,140.84,Residential,2008-05-19,222900,38.398245,-121.38061499999999
3318 DAVIDSON DR,Antelope,95843,CA,3,1,91.79,Residential,2008-05-19,223139,38.705753,-121.38891699999999
913 COBDEN CT,Galt,95632,CA,4,2,144.46,Residential,2008-05-19,225500,38.282001,-121.295902
4419 79TH ST,Sacramento,95820,CA,3,2,112.6,Residential,2008-05-19,228327,38.534827,-121.412545
3012 SPOONWOOD WAY,Sacramento,95833,CA,4,2,173.82,Residential,2008-05-19,230000,38.62478,-121.523474
8728 CRYSTAL RIVER WAY,Sacramento,95828,CA,3,2,120.96,Residential,2008-05-19,230000,38.47547,-121.380055
4709 AMBER LN Unit 1,Sacramento,95841,CA,2,1,70.23,Condo,2008-05-19,230522,38.657789,-121.35499399999999
4508 OLD DAIRY DR,Antelope,95843,CA,4,3,188.22,Residential,2008-05-19,231200,38.72286,-121.35893899999999
312 RIVER ISLE WAY,Sacramento,95831,CA,3,2,127.74,Residential,2008-05-19,232000,38.49026,-121.550527
301 OLIVADI WAY,Sacramento,95834,CA,2,2,116.13,Condo,2008-05-19,232500,38.644406,-121.549049
5636 25TH ST,Sacramento,95822,CA,3,1,98.29,Residential,2008-05-19,233641,38.523828,-121.48113899999998
8721 SPRUCE RIDGE WAY,Antelope,95843,CA,3,2,110.27,Residential,2008-05-19,234000,38.727657,-121.391028
7461 WINDBRIDGE DR,Sacramento,95831,CA,2,2,123.0,Residential,2008-05-19,234500,38.487970000000004,-121.530229
8101 LEMON COVE CT,Sacramento,95828,CA,4,3,179.86,Residential,2008-05-19,235000,38.462981,-121.40828799999998
10949 SCOTSMAN WAY,Rancho Cordova,95670,CA,5,4,221.29,Multi-Family,2008-05-19,236000,38.603685999999996,-121.27784399999999
617 WILLOW CREEK DR,Folsom,95630,CA,3,2,132.57,Residential,2008-05-19,236073,38.679626,-121.14260900000001
3301 PARK DR Unit 1914,Sacramento,95835,CA,3,2,155.89,Condo,2008-05-19,238000,38.665296000000005,-121.531993
709 CIMMARON CT,Galt,95632,CA,4,2,167.04,Residential,2008-05-19,238861,38.277177,-121.303747
3305 RIO ROCA CT,Antelope,95843,CA,4,3,246.38,Residential,2008-05-19,239700,38.725079,-121.387698
9080 BEDROCK CT,Sacramento,95829,CA,4,2,168.71,Residential,2008-05-19,240000,38.456939,-121.36296499999999
100 TOURMALINE CIR,Sacramento,95834,CA,5,3,285.77,Residential,2008-05-19,240000,38.634370000000004,-121.510779
6411 RED BIRCH WAY,Elk Grove,95758,CA,4,2,171.31,Residential,2008-05-19,241000,38.43461,-121.42931599999999
4867 LAGUNA DR,Sacramento,95823,CA,3,2,121.33,Residential,2008-05-19,245000,38.46179,-121.445371
3662 RIVER DR,Sacramento,95833,CA,4,3,227.33,Residential,2008-05-19,246000,38.604969,-121.54255
6943 WOLFGRAM WAY,Sacramento,95828,CA,4,2,109.25,Residential,2008-05-19,247234,38.489215,-121.419546
77 RINETTI WAY,Rio Linda,95673,CA,4,2,109.81,Residential,2008-05-19,247480,38.687021,-121.463151
